Cycle, Iteration, PacketSize, B, C, R_last
3 , 36 , 3850 , 6 , 3921 , 3000
3 , 37 , 3850 , 6 , 4896 , 3850
3 , 38 , 3850 , 6 , 5762 , 3850
3 , 39 , 3850 , 6 , 4418 , 3850
3 , 40 , 235 , 7 , 3754 , 3850
3 , 41 , 3000 , 7 , 3111 , 235
3 , 42 , 235 , 8 , 1841 , 3000
3 , 43 , 2350 , 9 , 2860 , 235
3 , 44 , 3850 , 10 , 4308 , 2350
3 , 45 , 3850 , 10 , 3884 , 3850
3 , 46 , 235 , 10 , 3008 , 3850
3 , 47 , 3850 , 10 , 4407 , 235
3 , 48 , 3850 , 9 , 5311 , 3850
3 , 49 , 3850 , 8 , 5277 , 3850
3 , 50 , 3850 , 7 , 4967 , 3850
3 , 51 , 3850 , 7 , 5861 , 3850
3 , 52 , 3850 , 7 , 4744 , 3850
3 , 53 , 3850 , 8 , 4699 , 3850
3 , 54 , 3850 , 8 , 5997 , 3850
3 , 55 , 3850 , 7 , 5028 , 3850
3 , 56 , 3850 , 7 , 4170 , 3850
3 , 57 , 3850 , 6 , 5016 , 3850
3 , 58 , 3850 , 6 , 4209 , 3850
3 , 59 , 235 , 6 , 3072 , 3850
3 , 60 , 3000 , 6 , 3724 , 235
3 , 61 , 3000 , 6 , 3424 , 3000
3 , 62 , 3850 , 5 , 4313 , 3000
3 , 63 , 235 , 5 , 2929 , 3850
3 , 64 , 1050 , 5 , 1429 , 235
3 , 65 , 1750 , 6 , 2219 , 1050
3 , 66 , 235 , 6 , 852 , 1750
3 , 67 , 750 , 5 , 910 , 235
3 , 68 , 1750 , 4 , 2119 , 750
3 , 69 , 1750 , 3 , 2020 , 1750
3 , 70 , 2350 , 4 , 2362 , 1750
3 , 71 , 3000 , 4 , 3313 , 2350
3 , 72 , 235 , 4 , 1813 , 3000
3 , 73 , 750 , 4 , 1039 , 235
3 , 74 , 1050 , 5 , 1467 , 750
3 , 75 , 1050 , 5 , 1397 , 1050
3 , 76 , 235 , 5 , 565 , 1050
3 , 77 , 1750 , 7 , 1827 , 235
3 , 78 , 1750 , 6 , 1799 , 1750
3 , 79 , 235 , 6 , 1727 , 1750
3 , 80 , 560 , 6 , 710 , 235
3 , 81 , 1750 , 6 , 1832 , 560
3 , 82 , 2350 , 6 , 2625 , 1750
3 , 83 , 3850 , 6 , 3906 , 2350
3 , 84 , 3850 , 6 , 4326 , 3850
3 , 85 , 235 , 6 , 2989 , 3850
3 , 86 , 3000 , 7 , 3206 , 235
3 , 87 , 235 , 7 , 2943 , 3000
3 , 88 , 3850 , 7 , 4043 , 235
3 , 89 , 3850 , 7 , 4410 , 3850
4 , 0 , 235 , 8 , 3766 , 3850
4 , 1 , 3850 , 8 , 4486 , 235
4 , 2 , 3850 , 9 , 4720 , 3850
4 , 3 , 3850 , 10 , 4808 , 3850
4 , 4 , 3850 , 9 , 5073 , 3850
4 , 5 , 235 , 9 , 3808 , 3850
4 , 6 , 3850 , 10 , 4870 , 235
4 , 7 , 235 , 11 , 3844 , 3850
4 , 8 , 3850 , 10 , 4295 , 235
4 , 9 , 235 , 10 , 3510 , 3850
4 , 10 , 1750 , 10 , 2223 , 235
4 , 11 , 2350 , 9 , 2582 , 1750
4 , 12 , 3000 , 8 , 3491 , 2350
4 , 13 , 3850 , 8 , 3967 , 3000
4 , 14 , 3850 , 8 , 4425 , 3850
4 , 15 , 3850 , 8 , 4780 , 3850
4 , 16 , 235 , 8 , 3396 , 3850
4 , 17 , 3850 , 8 , 4085 , 235
4 , 18 , 235 , 7 , 3651 , 3850
4 , 19 , 3850 , 7 , 4647 , 235
4 , 20 , 3850 , 7 , 3933 , 3850
4 , 21 , 3850 , 7 , 4866 , 3850
4 , 22 , 3850 , 7 , 5063 , 3850
4 , 23 , 3850 , 7 , 4731 , 3850
4 , 24 , 235 , 8 , 3723 , 3850
4 , 25 , 3000 , 8 , 3182 , 235
4 , 26 , 235 , 8 , 2621 , 3000
4 , 27 , 1050 , 8 , 1129 , 235
4 , 28 , 235 , 8 , 272 , 1050
4 , 29 , 4300 , 9 , 200 , 235
4 , 30 , 235 , 9 , 260 , 4300
4 , 31 , 1050 , 12 , 1118 , 235
4 , 32 , 1750 , 13 , 1968 , 1050
4 , 33 , 3000 , 12 , 3299 , 1750
4 , 34 , 3850 , 12 , 4574 , 3000
4 , 35 , 3850 , 12 , 5283 , 3850
4 , 36 , 3850 , 12 , 4393 , 3850
4 , 37 , 3850 , 13 , 4675 , 3850
4 , 38 , 3850 , 14 , 5351 , 3850
4 , 39 , 3850 , 14 , 4304 , 3850
4 , 40 , 235 , 14 , 3305 , 3850
4 , 41 , 3000 , 14 , 3234 , 235
4 , 42 , 3850 , 15 , 4270 , 3000
4 , 43 , 3850 , 14 , 5188 , 3850
4 , 44 , 3850 , 13 , 4052 , 3850
4 , 45 , 235 , 13 , 3316 , 3850
4 , 46 , 3000 , 14 , 3495 , 235
4 , 47 , 235 , 14 , 2591 , 3000
4 , 48 , 3000 , 15 , 3812 , 235
4 , 49 , 235 , 15 , 2537 , 3000
4 , 50 , 1050 , 15 , 1297 , 235
4 , 51 , 1750 , 14 , 1981 , 1050
4 , 52 , 1750 , 13 , 2245 , 1750
4 , 53 , 235 , 13 , 1524 , 1750
4 , 54 , 1050 , 13 , 1683 , 235
4 , 55 , 1050 , 13 , 1736 , 1050
4 , 56 , 235 , 13 , 390 , 1050
4 , 57 , 4300 , 13 , 200 , 235
4 , 58 , 235 , 11 , 852 , 4300
4 , 59 , 1050 , 10 , 1602 , 235
4 , 60 , 1050 , 11 , 1220 , 1050
4 , 61 , 235 , 11 , 200 , 1050
4 , 62 , 1050 , 14 , 1113 , 235
4 , 63 , 235 , 14 , 557 , 1050
4 , 64 , 560 , 13 , 651 , 235
4 , 65 , 1050 , 14 , 1439 , 560
4 , 66 , 235 , 14 , 679 , 1050
4 , 67 , 1050 , 15 , 1714 , 235
4 , 68 , 2350 , 16 , 2357 , 1050
4 , 69 , 235 , 15 , 1774 , 2350
4 , 70 , 1750 , 15 , 2059 , 235
4 , 71 , 2350 , 16 , 2493 , 1750
4 , 72 , 235 , 16 , 1476 , 2350
4 , 73 , 1750 , 17 , 2157 , 235
4 , 74 , 1750 , 17 , 1901 , 1750
4 , 75 , 1750 , 16 , 2164 , 1750
4 , 76 , 235 , 16 , 1316 , 1750
4 , 77 , 4300 , 16 , 200 , 235
4 , 78 , 235 , 16 , 679 , 4300
4 , 79 , 560 , 15 , 748 , 235
4 , 80 , 235 , 15 , 200 , 560
4 , 81 , 1050 , 13 , 1439 , 235
4 , 82 , 1050 , 13 , 1070 , 1050
4 , 83 , 1050 , 14 , 1660 , 1050
4 , 84 , 2350 , 14 , 2647 , 1050
4 , 85 , 3000 , 13 , 3678 , 2350
4 , 86 , 3000 , 13 , 3292 , 3000
4 , 87 , 235 , 13 , 2487 , 3000
4 , 88 , 2350 , 13 , 2849 , 235
4 , 89 , 3850 , 13 , 4010 , 2350
5 , 0 , 3850 , 13 , 5211 , 3850
5 , 1 , 3850 , 14 , 4782 , 3850
5 , 2 , 3850 , 14 , 4973 , 3850
5 , 3 , 3850 , 13 , 5861 , 3850
5 , 4 , 3850 , 12 , 4599 , 3850
5 , 5 , 235 , 12 , 3183 , 3850
5 , 6 , 2350 , 12 , 2939 , 235
5 , 7 , 235 , 12 , 1466 , 2350
5 , 8 , 1750 , 13 , 1831 , 235
5 , 9 , 2350 , 13 , 2461 , 1750
5 , 10 , 2350 , 13 , 2757 , 2350
5 , 11 , 235 , 13 , 2010 , 2350
5 , 12 , 1750 , 13 , 2336 , 235
5 , 13 , 1750 , 13 , 2182 , 1750
5 , 14 , 235 , 13 , 725 , 1750
5 , 15 , 1750 , 15 , 2174 , 235
5 , 16 , 235 , 15 , 763 , 1750
5 , 17 , 560 , 14 , 594 , 235
5 , 18 , 235 , 15 , 556 , 560
5 , 19 , 1750 , 17 , 1790 , 235
5 , 20 , 1750 , 17 , 2309 , 1750
5 , 21 , 2350 , 16 , 2448 , 1750
5 , 22 , 235 , 15 , 2071 , 2350
5 , 23 , 560 , 15 , 637 , 235
5 , 24 , 235 , 15 , 200 , 560
5 , 25 , 375 , 16 , 439 , 235
5 , 26 , 1050 , 15 , 1222 , 375
5 , 27 , 1050 , 14 , 1318 , 1050
5 , 28 , 2350 , 14 , 2369 , 1050
5 , 29 , 235 , 15 , 2180 , 2350
5 , 30 , 1050 , 15 , 1073 , 235
5 , 31 , 235 , 15 , 774 , 1050
5 , 32 , 1750 , 16 , 1954 , 235
5 , 33 , 1750 , 16 , 2053 , 1750
5 , 34 , 235 , 16 , 627 , 1750
5 , 35 , 1050 , 17 , 1520 , 235
5 , 36 , 1050 , 17 , 1155 , 1050
5 , 37 , 1050 , 16 , 1684 , 1050
5 , 38 , 1050 , 17 , 1542 , 1050
5 , 39 , 1750 , 18 , 2015 , 1050
5 , 40 , 3000 , 19 , 3414 , 1750
5 , 41 , 3000 , 19 , 3103 , 3000
5 , 42 , 3850 , 20 , 3872 , 3000
5 , 43 , 3850 , 21 , 4928 , 3850
5 , 44 , 3850 , 21 , 5029 , 3850
5 , 45 , 3850 , 21 , 4038 , 3850
5 , 46 , 3850 , 20 , 4513 , 3850
5 , 47 , 3850 , 21 , 4251 , 3850
5 , 48 , 3850 , 21 , 4611 , 3850
5 , 49 , 3850 , 21 , 5542 , 3850
5 , 50 , 3850 , 20 , 4792 , 3850
5 , 51 , 3850 , 21 , 5447 , 3850
5 , 52 , 3850 , 21 , 4131 , 3850
5 , 53 , 3850 , 21 , 3358 , 3850
5 , 54 , 3850 , 22 , 2008 , 3850
5 , 55 , 3850 , 22 , 668 , 3850
5 , 56 , 3850 , 22 , 200 , 3850
5 , 57 , 3850 , 22 , 1335 , 3850
5 , 58 , 3850 , 22 , 1294 , 3850
5 , 59 , 3850 , 22 , 1232 , 3850
5 , 60 , 3850 , 21 , 2250 , 3850
5 , 61 , 3850 , 21 , 806 , 3850
5 , 62 , 3850 , 21 , 200 , 3850
5 , 63 , 3850 , 20 , 1485 , 3850
5 , 64 , 3850 , 20 , 489 , 3850
5 , 65 , 3850 , 20 , 200 , 3850
5 , 66 , 235 , 17 , 1141 , 3850
5 , 67 , 1050 , 18 , 1116 , 235
5 , 68 , 1050 , 18 , 1551 , 1050
5 , 69 , 235 , 18 , 200 , 1050
5 , 70 , 1050 , 14 , 1552 , 235
5 , 71 , 2350 , 15 , 2549 , 1050
5 , 72 , 235 , 16 , 1831 , 2350
5 , 73 , 1750 , 16 , 1984 , 235
5 , 74 , 2350 , 17 , 2670 , 1750
5 , 75 , 235 , 17 , 1671 , 2350
5 , 76 , 3000 , 18 , 3090 , 235
5 , 77 , 3000 , 19 , 3100 , 3000
5 , 78 , 3000 , 20 , 3138 , 3000
5 , 79 , 3850 , 21 , 4385 , 3000
5 , 80 , 3850 , 22 , 5361 , 3850
5 , 81 , 3850 , 22 , 3955 , 3850
5 , 82 , 3850 , 23 , 4130 , 3850
5 , 83 , 3850 , 23 , 3544 , 3850
5 , 84 , 3850 , 23 , 2099 , 3850
5 , 85 , 3850 , 24 , 3522 , 3850
5 , 86 , 3850 , 23 , 3026 , 3850
5 , 87 , 3850 , 23 , 2108 , 3850
5 , 88 , 3850 , 22 , 2645 , 3850
5 , 89 , 3850 , 23 , 2241 , 3850
6 , 0 , 3850 , 23 , 970 , 3850
6 , 1 , 3850 , 23 , 200 , 3850
6 , 2 , 3850 , 20 , 1300 , 3850
6 , 3 , 3850 , 20 , 357 , 3850
6 , 4 , 3850 , 20 , 200 , 3850
6 , 5 , 235 , 18 , 708 , 3850
6 , 6 , 1050 , 19 , 1668 , 235
6 , 7 , 235 , 19 , 535 , 1050
6 , 8 , 4300 , 19 , 200 , 235
6 , 9 , 235 , 17 , 574 , 4300
6 , 10 , 750 , 17 , 935 , 235
6 , 11 , 1050 , 18 , 1219 , 750
6 , 12 , 235 , 18 , 436 , 1050
6 , 13 , 375 , 18 , 480 , 235
6 , 14 , 1050 , 20 , 1552 , 375
