Time,Cycle,Iteration,PacketSize,B,C,R_last
20,3,4,3850,3,4169,2350
24,3,5,3850,3,4801,3850
28,3,6,3850,3,4310,3850
32,3,7,3850,3,4180,3850
36,3,8,3850,2,5069,3850
40,3,9,235,2,3842,3850
44,3,10,3850,2,5157,235
48,3,11,3850,2,4829,3850
52,3,12,235,1,3641,3850
56,3,13,3850,1,4168,235
60,3,14,235,2,3294,3850
64,3,15,3000,2,3450,235
68,3,16,3850,3,4826,3000
72,3,17,3850,2,5348,3850
76,3,18,3850,2,3888,3850
80,3,19,235,2,3199,3850
84,3,20,3000,2,3810,235
88,3,21,3850,3,5083,3000
92,3,22,3850,3,4056,3850
96,3,23,3850,3,5385,3850
100,3,24,3850,3,4440,3850
104,3,25,3850,4,4582,3850
108,3,26,3850,4,4895,3850
112,3,27,3850,5,5076,3850
116,3,28,3850,6,3967,3850
120,3,29,3850,7,4435,3850
124,3,30,3850,7,4675,3850
128,3,31,235,7,3242,3850
132,3,32,3000,7,3269,235
136,3,33,235,8,2004,3000
140,3,34,375,8,509,235
144,3,35,1050,9,1555,375
148,3,36,235,10,1023,1050
152,3,37,4300,10,200,235
156,3,38,235,5,1036,4300
160,3,39,1050,4,1223,235
164,3,40,235,4,925,1050
168,3,41,235,4,372,235
172,3,42,750,5,1009,235
176,3,43,1050,6,1465,750
180,3,44,1750,7,1968,1050
184,3,45,2350,6,2709,1750
188,3,46,3000,6,3793,2350
192,3,47,3000,5,3186,3000
196,3,48,235,5,2243,3000
200,3,49,750,5,914,235
204,3,50,235,5,200,750
208,3,51,375,3,388,235
212,3,52,235,3,200,375
216,3,53,4300,3,213,235
220,3,54,235,2,200,4300
224,3,55,560,4,608,235
228,3,56,235,4,200,560
232,3,57,375,2,522,235
236,3,58,235,2,200,375
240,3,59,1050,0,1309,235
244,3,60,1750,1,2170,1050
248,3,61,235,1,1103,1750
252,3,62,1050,2,1205,235
256,3,63,1750,1,2251,1050
260,3,64,3000,0,3245,1750
264,3,65,3850,0,4049,3000
268,3,66,3850,1,4844,3850
272,3,67,3850,1,4096,3850
276,3,68,3850,0,4982,3850
280,3,69,3850,0,5371,3850
284,3,70,3850,1,5289,3850
288,3,71,3850,1,4835,3850
292,3,72,235,1,3678,3850
296,3,73,3850,0,4845,235
300,3,74,3850,0,4432,3850
304,3,75,3850,0,4022,3850
308,3,76,235,0,3249,3850
312,3,77,3850,0,4608,235
316,3,78,3850,0,4931,3850
320,3,79,3850,1,4753,3850
324,3,80,235,2,3292,3850
328,3,81,3000,1,3340,235
332,3,82,235,1,2198,3000
336,3,83,2350,2,2999,235
340,3,84,3000,2,3086,2350
344,3,85,3000,2,3398,3000
348,3,86,235,2,2009,3000
352,3,87,2350,1,2749,235
356,3,88,3000,1,3262,2350
360,3,89,3000,2,3117,3000
4,4,0,3850,2,4103,3000
8,4,1,3850,3,5398,3850
12,4,2,3850,3,4204,3850
16,4,3,3850,4,4438,3850
20,4,4,3850,4,4533,3850
24,4,5,235,4,3814,3850
28,4,6,3850,3,4253,235
32,4,7,3850,2,5355,3850
36,4,8,3850,3,4194,3850
40,4,9,235,2,3361,3850
44,4,10,3000,2,3121,235
48,4,11,3850,2,4172,3000
52,4,12,3850,3,5296,3850
56,4,13,3850,3,4636,3850
60,4,14,3850,4,5914,3850
64,4,15,3850,3,4764,3850
68,4,16,3850,2,5396,3850
72,4,17,3850,2,4380,3850
76,4,18,235,2,3260,3850
80,4,19,3850,3,3856,235
84,4,20,3850,4,3944,3850
88,4,21,3850,3,4000,3850
92,4,22,3850,4,4431,3850
96,4,23,235,4,3574,3850
100,4,24,2350,4,2718,235
104,4,25,3850,3,4216,2350
108,4,26,235,3,3104,3850
112,4,27,1750,3,1901,235
116,4,28,235,3,528,1750
120,4,29,4300,3,200,235
124,4,30,235,1,949,4300
128,4,31,1750,0,2237,235
132,4,32,2350,0,2533,1750
136,4,33,235,0,1731,2350
140,4,34,3000,0,3021,235
144,4,35,235,1,2160,3000
148,4,36,1750,2,2154,235
152,4,37,1750,2,2074,1750
156,4,38,235,2,880,1750
160,4,39,4300,2,229,235
164,4,40,235,6,1120,4300
168,4,41,1750,6,2140,235
172,4,42,1750,6,2053,1750
176,4,43,235,6,836,1750
180,4,44,375,6,466,235
184,4,45,750,8,941,375
188,4,46,1750,8,1786,750
192,4,47,235,8,1306,1750
196,4,48,2350,7,2428,235
200,4,49,235,7,1920,2350
204,4,50,375,7,484,235
208,4,51,235,7,200,375
212,4,52,560,8,711,235
216,4,53,750,9,807,560
220,4,54,235,9,200,750
224,4,55,560,6,712,235
228,4,56,1050,6,1110,560
232,4,57,1750,5,2150,1050
236,4,58,235,5,1237,1750
240,4,59,2350,4,2422,235
244,4,60,235,4,1982,2350
248,4,61,2350,3,2526,235
252,4,62,235,3,1233,2350
256,4,63,4300,3,200,235
260,4,64,235,1,921,4300
264,4,65,4300,1,200,235
268,4,66,235,1,537,4300
272,4,67,375,0,518,235
276,4,68,235,0,200,375
280,4,69,375,0,397,235
284,4,70,235,0,200,375
288,4,71,375,0,392,235
292,4,72,235,0,200,375
296,4,73,1050,8,1685,235
300,4,74,235,8,986,1050
304,4,75,2350,10,2382,235
308,4,76,235,10,1198,2350
312,4,77,4300,10,200,235
316,4,78,235,6,1173,4300
320,4,79,1050,6,1461,235
324,4,80,2350,6,2593,1050
328,4,81,3000,6,3390,2350
332,4,82,3850,7,4602,3000
336,4,83,235,7,3524,3850
340,4,84,3850,6,4345,235
344,4,85,3850,6,5086,3850
348,4,86,235,5,3755,3850
352,4,87,3850,6,4586,235
356,4,88,3850,5,5274,3850
360,4,89,3850,5,4117,3850
4,5,0,3850,5,4057,3850
8,5,1,235,5,2631,3850
12,5,2,3000,4,3649,235
16,5,3,235,4,2722,3000
20,5,4,1750,4,1952,235
24,5,5,2350,5,2606,1750
28,5,6,235,5,1190,2350
32,5,7,1050,5,1146,235
36,5,8,1050,6,1652,1050
40,5,9,235,6,270,1050
44,5,10,375,7,496,235
48,5,11,375,7,437,375
52,5,12,235,7,200,375
56,5,13,750,4,868,235
60,5,14,750,3,833,750
64,5,15,1050,4,1510,750
68,5,16,2350,5,2710,1050
72,5,17,3000,5,3799,2350
76,5,18,235,5,2409,3000
80,5,19,3000,4,3054,235
84,5,20,235,4,1956,3000
88,5,21,3000,6,3073,235
92,5,22,235,6,1773,3000
96,5,23,560,6,576,235
100,5,24,1050,8,1374,560
104,5,25,2350,9,2843,1050
108,5,26,3000,9,3116,2350
112,5,27,235,8,2309,3000
116,5,28,3000,8,3677,235
120,5,29,235,8,2916,3000
124,5,30,3850,8,4038,235
128,5,31,3850,8,4554,3850
132,5,32,3850,8,4020,3850
136,5,33,3850,8,3941,3850
140,5,34,235,8,2674,3850
144,5,35,3000,8,3295,235
148,5,36,3000,7,3838,3000
152,5,37,3000,7,3587,3000
156,5,38,3000,7,3005,3000
160,5,39,235,7,2923,3000
164,5,40,3000,6,3381,235
168,5,41,3850,6,4412,3000
172,5,42,3850,6,5720,3850
176,5,43,3850,5,5328,3850
180,5,44,3850,5,3935,3850
184,5,45,3850,5,4416,3850
188,5,46,235,5,3284,3850
192,5,47,3000,6,3309,235
196,5,48,235,7,2335,3000
200,5,49,1750,6,2318,235
204,5,50,2350,6,2551,1750
208,5,51,3000,6,3825,2350
212,5,52,3850,5,4557,3000
216,5,53,235,5,3099,3850
220,5,54,3850,5,4575,235
224,5,55,3850,4,4560,3850
228,5,56,235,3,3849,3850
232,5,57,3850,2,3919,235
236,5,58,3850,1,4951,3850
240,5,59,3850,2,5785,3850
244,5,60,3850,2,5090,3850
248,5,61,235,2,3645,3850
252,5,62,3850,3,4305,235
256,5,63,235,4,3020,3850
260,5,64,3000,3,3025,235
264,5,65,3000,3,3036,3000
268,5,66,3000,3,3813,3000
272,5,67,3850,2,4367,3000
276,5,68,235,2,3292,3850
280,5,69,2350,2,2404,235
284,5,70,3000,3,3065,2350
288,5,71,235,4,2374,3000
292,5,72,2350,4,2748,235
296,5,73,3000,4,3252,2350
300,5,74,3000,4,3467,3000
304,5,75,3000,3,3562,3000
308,5,76,3850,2,3870,3000
312,5,77,235,2,3617,3850
316,5,78,3850,2,4446,235
320,5,79,3850,2,4166,3850
324,5,80,235,2,3050,3850
328,5,81,2350,2,2544,235
332,5,82,2350,3,2659,2350
336,5,83,3000,2,3544,2350
340,5,84,3000,3,3218,3000
344,5,85,3850,3,4613,3000
348,5,86,3850,4,4426,3850
352,5,87,3850,5,5182,3850
356,5,88,3850,5,4186,3850
360,5,89,3850,4,4328,3850
4,6,0,235,5,3113,3850
8,6,1,1050,5,1662,235
12,6,2,3000,4,3087,1050
16,6,3,3000,5,3186,3000
20,6,4,3000,6,3199,3000
24,6,5,235,6,2548,3000
28,6,6,1050,6,1160,235
32,6,7,235,6,606,1050
36,6,8,750,6,905,235
40,6,9,1750,7,1885,750
44,6,10,235,7,1602,1750
48,6,11,2350,7,2597,235
52,6,12,235,7,1502,2350
56,6,13,2350,8,2364,235
60,6,14,3000,7,3606,2350
64,6,15,3000,6,3603,3000
68,6,16,3850,6,4948,3000
72,6,17,3850,6,4780,3850
76,6,18,3850,7,4068,3850
80,6,19,3850,6,4359,3850
84,6,20,3850,6,4725,3850
88,6,21,3850,6,4686,3850
92,6,22,3850,6,5016,3850
96,6,23,3850,5,4322,3850
100,6,24,235,4,3024,3850
104,6,25,1750,3,1929,235
108,6,26,235,3,1144,1750
112,6,27,1050,4,1438,235
116,6,28,235,4,541,1050
120,6,29,1050,4,1059,235
124,6,30,235,4,256,1050
128,6,31,750,7,788,235
132,6,32,235,7,200,750
136,6,33,750,5,776,235
140,6,34,235,5,200,750
144,6,35,1050,0,1344,235
148,6,36,1750,1,2074,1050
152,6,37,1750,0,2026,1750
156,6,38,2350,0,2855,1750
160,6,39,3850,0,4046,2350
164,6,40,235,0,3470,3850
168,6,41,3850,0,4457,235
172,6,42,3850,0,4842,3850
176,6,43,3850,0,4787,3850
180,6,44,3850,0,5967,3850
184,6,45,3850,0,5195,3850
188,6,46,3850,1,4817,3850
192,6,47,3850,1,4793,3850
196,6,48,3850,1,4127,3850
200,6,49,235,1,2785,3850
204,6,50,1750,2,2263,235
208,6,51,1750,3,2152,1750
212,6,52,235,3,878,1750
216,6,53,750,3,967,235
220,6,54,2350,3,2396,750
224,6,55,3000,4,3802,2350
228,6,56,235,4,2527,3000
232,6,57,1750,4,2080,235
236,6,58,2350,3,2854,1750
240,6,59,235,3,2198,2350
244,6,60,1050,3,1416,235
248,6,61,2350,4,2517,1050
252,6,62,2350,4,2956,2350
256,6,63,3000,4,3701,2350
260,6,64,3850,3,3942,3000
264,6,65,235,3,2706,3850
268,6,66,1750,3,1974,235
272,6,67,235,3,1017,1750
276,6,68,4300,3,200,235
280,6,69,235,0,1636,4300
284,6,70,750,0,880,235
288,6,71,235,0,638,750
292,6,72,375,0,526,235
296,6,73,375,0,420,375
300,6,74,1050,1,1187,375
304,6,75,235,1,566,1050
308,6,76,750,2,788,235
312,6,77,1050,3,1458,750
316,6,78,2350,5,2739,1050
320,6,79,3000,5,3116,2350
324,6,80,3000,6,3260,3000
328,6,81,235,6,1774,3000
332,6,82,1050,6,1511,235
336,6,83,235,6,645,1050
340,6,84,1750,7,1751,235
344,6,85,1750,8,2229,1750
348,6,86,2350,8,2437,1750
352,6,87,235,7,2197,2350
356,6,88,2350,6,2514,235
360,6,89,2350,7,2794,2350
4,7,0,3850,6,4190,2350
8,7,1,3850,5,5668,3850
12,7,2,3850,6,5567,3850
16,7,3,3850,6,5320,3850
20,7,4,3850,6,3951,3850
24,7,5,3850,6,5176,3850
28,7,6,3850,5,4480,3850
32,7,7,3850,5,4392,3850
36,7,8,3850,4,4746,3850
